"dyadid","animalid","id","day","behavior","state","time","duration","idAB","end","burstval","burstvalcume","burstvalNA","burstvalcumeNA","burstresolved","prepost","burstresolvedx","prepostx"
"A","S","20S",1,"Tailrattle","aggr",14.7144,2.66928,"B",17.38368,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",17.3837,0.867516,"B",18.251216,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",22.4553,2.43572,"B",24.89102,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Lunge","aggr",26.526,2.10206,"B",28.62806,NA,NA,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Defensive freeze","sub",28.628,1.73503,"A",30.36303,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",29.0284,1.33464,"B",30.36304,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",30.997,0.533856,"B",31.530856,NA,NA,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Lunge","aggr",56.0215,0.367026,"B",56.388526,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",56.3885,0.600588,"B",56.989088,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Subordinate posture","sub",56.9891,0.800784,"B",57.789884,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",57.7899,0.533856,"B",58.323756,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Subordinate posture","sub",58.3238,0.300294,"B",58.624094,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",58.6241,1.16781,"B",59.79191,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",59.7919,1.5682,"B",61.3601,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Subordinate posture","sub",60.626,1.03435,"A",61.66035,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Subordinate posture","sub",61.6604,2.16879,"A",63.82919,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Lunge","aggr",61.7605,0.233562,"B",61.994062,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",61.994,1.03435,"B",63.02835,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Bite","aggr",63.0284,1.23454,"B",64.26294,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Subordinate posture","sub",63.8292,3.30323,"A",67.13243,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Subordinate posture","sub",64.2629,0.967614,"B",65.230514,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Flee","sub",65.2305,0.967614,"B",66.198114,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",68.4337,0.300294,"B",68.733994,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Subordinate posture","sub",68.734,1.16781,"B",69.90181,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Flee","sub",69.9018,2.06869,"B",71.97049,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",74.0725,0.934248,"B",75.006748,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Subordinate posture","sub",74.4729,2.13542,"A",76.60832,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Bite","aggr",78.0764,0.266928,"B",78.343328,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Lunge","aggr",78.3434,0.400392,"B",78.743792,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",78.7438,0.266928,"B",79.010728,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Defensive freeze","sub",79.0107,0.934248,"B",79.944948,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Bite","aggr",79.3443,3.26987,"A",82.61417,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Lunge","aggr",79.9449,0.83415,"B",80.77905,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",80.7791,0.633954,"B",81.413054,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Bite","aggr",81.413,0.400392,"B",81.813392,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Bite","aggr",81.8134,0.33366,"B",82.14706,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Defensive freeze","sub",82.1471,1.00098,"B",83.14808,1,1,1,1,30,"pre",13,"pre"
"A","T","20T",1,"Tailrattle","aggr",82.6142,2.40235,"A",85.01655,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Tailrattle","aggr",83.1481,0.600588,"B",83.748688,1,1,1,1,30,"pre",13,"pre"
"A","S","20S",1,"Bite","aggr",83.7487,0.467124,"B",84.215824,1,1,1,1,30,"pre",13,"pre"
